wavelength_um,transit_depth_ppm,transit_depth_error_ppm,instrument,primary_feature,signal_significance
0.950,2695.2,42.1,JWST_NIRISS_SOSS,Continuum,Ref
1.020,2705.8,38.5,JWST_NIRISS_SOSS,Continuum,Ref
1.140,2722.4,36.2,JWST_NIRISS_SOSS,H2O_Wing,1.2-sigma
1.220,2710.1,35.0,JWST_NIRISS_SOSS,Continuum,Ref
1.380,2785.6,33.8,JWST_NIRISS_SOSS,H2O_CH4_Blend,3.1-sigma
1.410,2798.2,34.1,JWST_NIRISS_SOSS,CH4_Absorption,4.2-sigma
1.450,2770.5,33.5,JWST_NIRISS_SOSS,CH4_Absorption,3.8-sigma
1.620,2718.9,32.0,JWST_NIRISS_SOSS,Continuum,Ref
1.780,2765.4,34.6,JWST_NIRISS_SOSS,CH4_Band,3.5-sigma
1.950,2720.0,36.1,JWST_NIRISS_SOSS,Continuum,Ref
2.100,2735.8,35.4,JWST_NIRISS_SOSS,CH4_Band,2.9-sigma
2.280,2790.2,32.8,JWST_NIRISS_SOSS,CH4_Fundamental,5.1-sigma
2.320,2812.5,31.5,JWST_NIRISS_SOSS,CH4_Fundamental,5.4-sigma
2.450,2745.0,33.0,JWST_NIRISS_SOSS,Continuum,Ref
2.720,2835.4,28.5,JWST_NIRSpec_G395H,CO2_Absorption,3.2-sigma
2.850,2798.1,29.2,JWST_NIRSpec_G395H,H2O_CO2_Blend,2.8-sigma
3.050,2750.3,27.8,JWST_NIRSpec_G395H,Continuum,Ref
3.280,2842.6,26.4,JWST_NIRSpec_G395H,CH4_Absorption,5.6-sigma
3.320,2855.1,25.9,JWST_NIRSpec_G395H,CH4_Absorption,5.8-sigma
3.400,2820.7,28.1,JWST_NIRSpec_G395H,DMS_Candidate_Band,1.8-sigma
3.450,2805.3,27.5,JWST_NIRSpec_G395H,DMS_Candidate_Band,1.5-sigma
3.650,2760.4,26.0,JWST_NIRSpec_G395H,Continuum,Ref
3.850,2768.9,25.4,JWST_NIRSpec_G395H,Continuum,Ref
4.150,2782.1,26.8,JWST_NIRSpec_G395H,CO2_Wing,2.4-sigma
4.260,2868.5,24.5,JWST_NIRSpec_G395H,CO2_Fundamental,3.6-sigma
4.320,2874.2,24.1,JWST_NIRSpec_G395H,CO2_Fundamental,3.7-sigma
4.480,2795.0,25.6,JWST_NIRSpec_G395H,Continuum,Ref
4.650,2772.3,26.2,JWST_NIRSpec_G395H,CO_Window,Ref
4.850,2765.1,28.4,JWST_NIRSpec_G395H,Continuum,Ref
5.100,2758.9,31.2,JWST_NIRSpec_G395H,Continuum,Ref
